Date,DJJA
2022-03-07,32817.4
2022-03-08,32632.6
2022-03-09,33286.2
2022-03-10,33174.1
2022-03-11,32944.2
2022-03-14,32945.2
2022-03-15,33544.3
2022-03-16,34063.1
2022-03-17,34480.8
2022-03-18,34754.9
2022-03-21,34553.0
2022-03-22,34807.5
2022-03-23,34358.5
2022-03-24,34707.9
2022-03-25,34861.2
2022-03-28,34955.9
2022-03-29,35294.2
2022-03-30,35228.8
2022-03-31,34678.4
2022-04-01,34818.3
2022-04-04,34921.9
2022-04-05,34641.2
2022-04-06,34496.5
2022-04-07,34583.6
2022-04-08,34721.1
2022-04-11,34308.1
2022-04-12,34220.4
2022-04-13,34564.6
2022-04-14,34451.2
2022-04-18,34411.7
2022-04-19,34911.2
2022-04-20,35160.8
2022-04-21,34792.8
2022-04-22,33811.4
2022-04-25,34049.5
2022-04-26,33240.2
2022-04-27,33301.9
2022-04-28,33916.4
2022-04-29,32977.2
2022-05-02,33061.5
2022-05-03,33128.8
2022-05-04,34061.1
2022-05-05,32998.0
2022-05-06,32899.4
2022-05-09,32245.7
2022-05-10,32160.7
2022-05-11,31834.1
2022-05-12,31730.3
2022-05-13,32196.7
2022-05-16,32223.4
2022-05-17,32654.6
2022-05-18,31490.1
2022-05-19,31253.1
2022-05-20,31261.9
2022-05-23,31880.2
2022-05-24,31928.6
2022-05-25,32120.3
2022-05-26,32637.2
2022-05-27,33213.0
2022-05-31,32990.1
2022-06-01,32813.2
2022-06-02,33248.3
2022-06-03,32899.7
2022-06-06,32915.8
2022-06-07,33180.1
2022-06-08,32910.9
2022-06-09,32272.8
2022-06-10,31392.8
2022-06-13,30516.7
2022-06-14,30364.8
2022-06-15,30668.5
2022-06-16,29927.1
2022-06-17,29888.8
2022-06-21,30530.2
2022-06-22,30483.1
2022-06-23,30677.4
2022-06-24,31500.7
2022-06-27,31438.3
2022-06-28,30947.0
2022-06-29,31029.3
2022-06-30,30775.4
2022-07-01,31097.3
2022-07-05,30967.8
2022-07-06,31037.7
2022-07-07,31384.6
2022-07-08,31338.2
2022-07-11,31173.8
2022-07-12,30981.3
2022-07-13,30772.8
2022-07-14,30630.2
2022-07-15,31288.3
2022-07-18,31072.6
2022-07-19,31827.1
2022-07-20,31874.8
2022-07-21,32036.9
2022-07-22,31899.3
2022-07-25,31990.0
2022-07-26,31761.5
2022-07-27,32197.6
2022-07-28,32529.6
2022-07-29,32845.1
2022-08-01,32798.4
2022-08-02,32396.2
2022-08-03,32812.5
2022-08-04,32726.8
2022-08-05,32803.5
2022-08-08,32832.5
2022-08-09,32774.4
2022-08-10,33309.5
2022-08-11,33336.7
2022-08-12,33761.1
2022-08-15,33912.4
2022-08-16,34152.0
2022-08-17,33980.3
2022-08-18,33999.0
2022-08-19,33706.7
2022-08-22,33063.6
2022-08-23,32909.6
2022-08-24,32969.2
2022-08-25,33291.8
2022-08-26,32283.4
2022-08-29,32099.0
2022-08-30,31790.9
2022-08-31,31510.4
2022-09-01,31656.4
2022-09-02,31318.4
2022-09-06,31145.3
2022-09-07,31581.3
2022-09-08,31774.5
2022-09-09,32151.7
2022-09-12,32381.3
2022-09-13,31105.0
2022-09-14,31135.1
2022-09-15,30961.8
2022-09-16,30822.4
2022-09-19,31019.7
2022-09-20,30706.2
2022-09-21,30183.8
2022-09-22,30076.7
2022-09-23,29590.4
2022-09-26,29260.8
2022-09-27,29135.0
2022-09-28,29683.7
2022-09-29,29225.6
2022-09-30,28725.5
2022-10-03,29490.9
2022-10-04,30316.3
2022-10-05,30273.9
2022-10-06,29926.9
2022-10-07,29296.8
2022-10-10,29202.9
2022-10-11,29239.2
2022-10-12,29210.8
2022-10-13,30038.7
2022-10-14,29634.8
2022-10-17,30185.8
2022-10-18,30523.8
2022-10-19,30423.8
2022-10-20,30333.6
2022-10-21,31082.6
2022-10-24,31499.6
2022-10-25,31836.7
2022-10-26,31839.1
2022-10-27,32033.3
2022-10-28,32861.8
2022-10-31,32732.9
2022-11-01,32653.2
2022-11-02,32147.8
2022-11-03,32001.2
2022-11-04,32403.2
2022-11-07,32827.0
2022-11-08,33160.8
2022-11-09,32513.9
2022-11-10,33715.4
2022-11-11,33747.9
2022-11-14,33536.7
2022-11-15,33592.9
