Date,Price
2012-06-13,1.9847
2012-06-14,1.9593
2012-06-15,1.994
2012-06-18,2.1227
2012-06-19,2.1393
2012-06-20,2.252
2012-06-21,2.146
2012-06-22,2.2527
2012-06-25,2.2073
2012-06-26,2.1073
2012-06-27,2.1307
2012-06-28,2.094
2012-06-29,2.086
2012-07-02,2.0267
2012-07-03,2.044
2012-07-05,2.082
2012-07-06,2.066
2012-07-09,2.0993
2012-07-10,2.0847
2012-07-11,2.1007
2012-07-12,2.18
2012-07-13,2.2833
2012-07-16,2.3973
2012-07-17,2.2233
2012-07-18,2.1433
2012-07-19,2.1513
2012-07-20,2.1193
2012-07-23,2.044
2012-07-24,1.9893
2012-07-25,1.93
2012-07-26,1.8753
2012-07-27,1.9673
2012-07-30,1.8233
2012-07-31,1.828
2012-08-01,1.75
2012-08-02,1.74
2012-08-03,1.818
2012-08-06,1.8847
2012-08-07,2.0167
2012-08-08,1.9393
2012-08-09,1.9607
2012-08-10,1.996
2012-08-13,2.078
2012-08-14,1.9613
2012-08-15,1.96
2012-08-16,2.02
2012-08-17,2.0007
2012-08-20,1.9673
2012-08-21,1.9407
2012-08-22,1.9967
2012-08-23,2.0487
2012-08-24,1.9667
2012-08-27,1.888
2012-08-28,1.9127
2012-08-29,1.894
2012-08-30,1.894
2012-08-31,1.9013
2012-09-04,1.876
2012-09-05,1.8627
2012-09-06,1.9033
2012-09-07,1.9567
2012-09-10,1.8247
2012-09-11,1.8533
2012-09-12,1.8853
2012-09-13,1.9653
2012-09-14,2.026
2012-09-17,2.1693
2012-09-18,2.0893
2012-09-19,2.07
2012-09-20,2.06
2012-09-21,2.0013
2012-09-24,2.044
2012-09-25,1.844
2012-09-26,1.836
2012-09-27,1.8993
2012-09-28,1.952
2012-10-01,1.944
2012-10-02,1.9867
2012-10-03,1.9533
2012-10-04,1.96
2012-10-05,1.926
2012-10-08,1.95
2012-10-09,1.8913
2012-10-10,1.8933
2012-10-11,1.888
2012-10-12,1.8427
2012-10-15,1.822
2012-10-16,1.8707
2012-10-17,1.9213
2012-10-18,1.8693
2012-10-19,1.8493
2012-10-22,1.8567
2012-10-23,1.8927
2012-10-24,1.828
2012-10-25,1.8347
2012-10-26,1.8253
2012-10-31,1.8753
2012-11-01,1.95
2012-11-02,1.928
2012-11-05,2.1
2012-11-06,2.0767
2012-11-07,2.1027
2012-11-08,2.0873
2012-11-09,2.0213
2012-11-12,2.0713
2012-11-13,2.1073
2012-11-14,2.092
2012-11-15,2.0547
2012-11-16,2.1227
2012-11-19,2.1947
2012-11-20,2.2
2012-11-21,2.1647
2012-11-23,2.142
2012-11-26,2.1513
2012-11-27,2.1433
2012-11-28,2.2153
2012-11-29,2.246
2012-11-30,2.2547
2012-12-03,2.308
2012-12-04,2.26
2012-12-05,2.2473
2012-12-06,2.26
2012-12-07,2.278
2012-12-10,2.3047
2012-12-11,2.352
2012-12-12,2.3507
2012-12-13,2.2407
2012-12-14,2.254
2012-12-17,2.2933
2012-12-18,2.306
2012-12-19,2.3073
2012-12-20,2.2953
2012-12-21,2.2667
2012-12-24,2.2853
2012-12-26,2.2393
2012-12-27,2.246
2012-12-28,2.2147
2012-12-31,2.258
2013-01-02,2.3573
2013-01-03,2.318
2013-01-04,2.2933
2013-01-07,2.2893
2013-01-08,2.2453
2013-01-09,2.2427
2013-01-10,2.2353
2013-01-11,2.194
2013-01-14,2.2173
2013-01-15,2.26
2013-01-16,2.2733
2013-01-17,2.292
2013-01-18,2.3013
2013-01-22,2.346
2013-01-23,2.4
2013-01-24,2.466
2013-01-25,2.4653
2013-01-28,2.5353
2013-01-29,2.53
2013-01-30,2.5013
2013-01-31,2.5007
2013-02-01,2.5533
2013-02-04,2.516
2013-02-05,2.542
2013-02-06,2.6113
2013-02-07,2.632
2013-02-08,2.616
2013-02-11,2.5613
2013-02-12,2.526
2013-02-13,2.5633
2013-02-14,2.5513
2013-02-15,2.4693
2013-02-19,2.6187
2013-02-20,2.5693
2013-02-21,2.344
2013-02-22,2.4073
2013-02-25,2.292
2013-02-26,2.2953
2013-02-27,2.34
2013-02-28,2.322
2013-03-01,2.31
2013-03-04,2.372
2013-03-05,2.4433
2013-03-06,2.5127
2013-03-07,2.5487
2013-03-08,2.5647
2013-03-11,2.6067
2013-03-12,2.608
2013-03-13,2.5987
2013-03-14,2.4567
2013-03-15,2.3527
2013-03-18,2.3433
2013-03-19,2.3387
2013-03-20,2.3967
2013-03-21,2.4007
2013-03-22,2.4413
2013-03-25,2.502
2013-03-26,2.524
2013-03-27,2.544
2013-03-28,2.526
2013-04-01,2.9287
2013-04-02,2.956
2013-04-03,2.74
2013-04-04,2.8007
