Date,NASDAQ
2020-08-19,11146.5
2020-08-20,11265.0
2020-08-21,11311.8
2020-08-24,11379.7
2020-08-25,11466.5
2020-08-26,11665.1
2020-08-27,11625.3
2020-08-28,11695.6
2020-08-31,11775.5
2020-09-01,11939.7
2020-09-02,12056.4
2020-09-03,11458.1
2020-09-04,11313.1
2020-09-08,10847.7
2020-09-09,11141.6
2020-09-10,10919.6
2020-09-11,10853.5
2020-09-14,11056.7
2020-09-15,11190.3
2020-09-16,11050.5
2020-09-17,10910.3
2020-09-18,10793.3
2020-09-21,10778.8
2020-09-22,10963.6
2020-09-23,10633.0
2020-09-24,10672.3
2020-09-25,10913.6
2020-09-28,11117.5
2020-09-29,11085.2
2020-09-30,11167.5
2020-10-01,11326.5
2020-10-02,11075.0
2020-10-05,11332.5
2020-10-06,11154.6
2020-10-07,11364.6
2020-10-08,11421.0
2020-10-09,11579.9
2020-10-12,11876.3
2020-10-13,11863.9
2020-10-14,11768.7
2020-10-15,11713.9
2020-10-16,11671.6
2020-10-19,11478.9
2020-10-20,11516.5
2020-10-21,11484.7
2020-10-22,11506.0
2020-10-23,11548.3
2020-10-26,11358.9
2020-10-27,11431.3
2020-10-28,11004.9
2020-10-29,11185.6
2020-10-30,10911.6
2020-11-02,10957.6
2020-11-03,11160.6
2020-11-04,11590.8
2020-11-05,11890.9
2020-11-06,11895.2
2020-11-09,11713.8
2020-11-10,11553.9
2020-11-11,11786.4
2020-11-12,11709.6
2020-11-13,11829.3
2020-11-16,11924.1
2020-11-17,11899.3
2020-11-18,11801.6
2020-11-19,11904.7
2020-11-20,11855.0
2020-11-23,11880.6
2020-11-24,12036.8
2020-11-25,12094.4
2020-11-27,12205.8
2020-11-30,12198.7
2020-12-01,12355.1
2020-12-02,12349.4
2020-12-03,12377.2
2020-12-04,12464.2
2020-12-07,12520.0
2020-12-08,12582.8
2020-12-09,12339.0
2020-12-10,12405.8
2020-12-11,12377.9
2020-12-14,12440.0
2020-12-15,12595.1
2020-12-16,12658.2
2020-12-17,12764.8
2020-12-18,12755.6
2020-12-21,12742.5
2020-12-22,12807.9
2020-12-23,12771.1
2020-12-24,12804.7
2020-12-28,12899.4
2020-12-29,12850.2
2020-12-30,12870.0
2020-12-31,12888.3
2021-01-04,12698.5
2021-01-05,12819.0
2021-01-06,12740.8
2021-01-07,13067.5
2021-01-08,13202.0
2021-01-11,13036.4
2021-01-12,13072.4
2021-01-13,13129.0
2021-01-14,13112.6
2021-01-15,12998.5
2021-01-19,13197.2
2021-01-20,13457.2
2021-01-21,13530.9
2021-01-22,13543.1
2021-01-25,13636.0
2021-01-26,13626.1
2021-01-27,13270.6
2021-01-28,13337.2
2021-01-29,13070.7
2021-02-01,13403.4
2021-02-02,13612.8
2021-02-03,13610.5
2021-02-04,13777.7
2021-02-05,13856.3
2021-02-08,13987.6
2021-02-09,14007.7
2021-02-10,13972.5
2021-02-11,14025.8
2021-02-12,14095.5
2021-02-16,14047.5
2021-02-17,13965.5
2021-02-18,13865.4
2021-02-19,13874.5
2021-02-22,13533.0
2021-02-23,13465.2
2021-02-24,13598.0
2021-02-25,13119.4
2021-02-26,13192.3
2021-03-01,13588.8
2021-03-02,13358.8
2021-03-03,12997.8
2021-03-04,12723.5
2021-03-05,12920.2
2021-03-08,12609.2
2021-03-09,13073.8
2021-03-10,13068.8
2021-03-11,13398.7
2021-03-12,13319.9
2021-03-15,13459.7
2021-03-16,13471.6
2021-03-17,13525.2
2021-03-18,13116.2
2021-03-19,13215.2
2021-03-22,13377.5
2021-03-23,13227.7
2021-03-24,12961.9
2021-03-25,12977.7
2021-03-26,13138.7
2021-03-29,13059.7
2021-03-30,13045.4
2021-03-31,13246.9
2021-04-01,13480.1
2021-04-05,13705.6
2021-04-06,13698.4
2021-04-07,13688.8
2021-04-08,13829.3
2021-04-09,13900.2
2021-04-12,13850.0
2021-04-13,13996.1
2021-04-14,13857.8
2021-04-15,14038.8
2021-04-16,14052.3
2021-04-19,13914.8
2021-04-20,13786.3
2021-04-21,13950.2
2021-04-22,13818.4
2021-04-23,14016.8
2021-04-26,14138.8
2021-04-27,14090.2
2021-04-28,14051.0
2021-04-29,14082.5
2021-04-30,13962.7
2021-05-03,13895.1
2021-05-04,13633.5
2021-05-05,13582.4
2021-05-06,13632.8
2021-05-07,13752.2
2021-05-10,13401.9
2021-05-11,13389.4
2021-05-12,13031.7
2021-05-13,13125.0
2021-05-14,13430.0
2021-05-17,13379.0
2021-05-18,13303.6
2021-05-19,13299.7
2021-05-20,13535.7
2021-05-21,13471.0
2021-05-24,13661.2
2021-05-25,13657.2
2021-05-26,13738.0
2021-05-27,13736.3
2021-05-28,13748.7
2021-06-01,13736.5
2021-06-02,13756.3
2021-06-03,13614.5
2021-06-04,13814.5
2021-06-07,13881.7
2021-06-08,13924.9
2021-06-09,13911.8
2021-06-10,14020.3
2021-06-11,14069.4
2021-06-14,14174.1
2021-06-15,14072.9
2021-06-16,14039.7
2021-06-17,14161.3
2021-06-18,14030.4
2021-06-21,14141.5
2021-06-22,14253.3
2021-06-23,14271.7
2021-06-24,14369.7
2021-06-25,14360.4
2021-06-28,14500.5
2021-06-29,14528.3
2021-06-30,14504.0
2021-07-01,14522.4
2021-07-02,14639.3
2021-07-06,14663.6
2021-07-07,14665.1
2021-07-08,14559.8
2021-07-09,14701.9
2021-07-12,14733.2
2021-07-13,14677.7
2021-07-14,14645.0
2021-07-15,14543.1
2021-07-16,14427.2
2021-07-19,14275.0
2021-07-20,14498.9
2021-07-21,14632.0
2021-07-22,14684.6
2021-07-23,14837.0
2021-07-26,14840.7
2021-07-27,14660.6
2021-07-28,14762.6
2021-07-29,14778.3
2021-07-30,14672.7
2021-08-02,14681.1
2021-08-03,14761.3
2021-08-04,14780.5
2021-08-05,14895.1
2021-08-06,14835.8
2021-08-09,14860.2
2021-08-10,14788.1
2021-08-11,14765.1
2021-08-12,14816.3
2021-08-13,14822.9
2021-08-16,14793.8
2021-08-17,14656.2
2021-08-18,14525.9
2021-08-19,14541.8
2021-08-20,14714.7
2021-08-23,14942.7
2021-08-24,15019.8
2021-08-25,15041.9
2021-08-26,14945.8
2021-08-27,15129.5
2021-08-30,15265.9
2021-08-31,15259.2
2021-09-01,15309.4
2021-09-02,15331.2
2021-09-03,15363.5
2021-09-07,15374.3
2021-09-08,15286.6
2021-09-09,15248.2
2021-09-10,15115.5
2021-09-13,15105.6
2021-09-14,15037.8
2021-09-15,15161.5
2021-09-16,15181.9
2021-09-17,15044.0
2021-09-20,14713.9
2021-09-21,14746.4
2021-09-22,14896.8
2021-09-23,15052.2
2021-09-24,15047.7
2021-09-27,14970.0
2021-09-28,14546.7
2021-09-29,14512.4
2021-09-30,14448.6
2021-10-01,14566.7
2021-10-04,14255.5
2021-10-05,14433.8
2021-10-06,14501.9
2021-10-07,14654.0
2021-10-08,14579.5
2021-10-11,14486.2
2021-10-12,14465.9
2021-10-13,14571.6
2021-10-14,14823.4
2021-10-15,14897.3
2021-10-18,15021.8
2021-10-19,15129.1
2021-10-20,15121.7
2021-10-21,15215.7
2021-10-22,15090.2
2021-10-25,15226.7
2021-10-26,15235.7
2021-10-27,15235.8
2021-10-28,15448.1
2021-10-29,15498.4
2021-11-01,15595.9
2021-11-02,15649.6
2021-11-03,15811.6
2021-11-04,15940.3
2021-11-05,15971.6
2021-11-08,15982.4
2021-11-09,15886.5
2021-11-10,15622.7
2021-11-11,15704.3
2021-11-12,15861.0
2021-11-15,15853.8
2021-11-16,15973.9
2021-11-17,15921.6
2021-11-18,15993.7
2021-11-19,16057.4
2021-11-22,15854.8
2021-11-23,15775.1
2021-11-24,15845.2
2021-11-26,15491.7
2021-11-29,15782.8
2021-11-30,15537.7
2021-12-01,15254.0
2021-12-02,15381.3
2021-12-03,15085.5
2021-12-06,15225.2
2021-12-07,15686.9
2021-12-08,15787.0
2021-12-09,15517.4
2021-12-10,15630.6
2021-12-13,15413.3
2021-12-14,15237.6
2021-12-15,15565.6
2021-12-16,15180.4
2021-12-17,15169.7
2021-12-20,14980.9
2021-12-21,15341.1
2021-12-22,15521.9
2021-12-23,15653.4
2021-12-27,15871.3
2021-12-28,15781.7
2021-12-29,15766.2
2021-12-30,15741.6
2021-12-31,15645.0
2022-01-03,15832.8
2022-01-04,15622.7
2022-01-05,15100.2
2022-01-06,15080.9
2022-01-07,14935.9
2022-01-10,14942.8
2022-01-11,15153.5
2022-01-12,15188.4
2022-01-13,14806.8
2022-01-14,14893.8
2022-01-18,14506.9
2022-01-19,14340.3
2022-01-20,14154.0
2022-01-21,13768.9
2022-01-24,13855.1
2022-01-25,13539.3
2022-01-26,13542.1
2022-01-27,13352.8
2022-01-28,13770.6
2022-01-31,14239.9
2022-02-01,14346.0
2022-02-02,14417.5
2022-02-03,13878.8
2022-02-04,14098.0
2022-02-07,14015.7
2022-02-08,14194.5
2022-02-09,14490.4
2022-02-10,14185.6
2022-02-11,13791.2
2022-02-14,13790.9
2022-02-15,14139.8
2022-02-16,14124.1
2022-02-17,13716.7
2022-02-18,13548.1
2022-02-22,13381.5
2022-02-23,13037.5
2022-02-24,13473.6
2022-02-25,13694.6
2022-02-28,13751.4
2022-03-01,13532.5
2022-03-02,13752.0
2022-03-03,13537.9
2022-03-04,13313.4
2022-03-07,12831.0
2022-03-08,12795.5
2022-03-09,13255.5
2022-03-10,13130.0
2022-03-11,12843.8
2022-03-14,12581.2
2022-03-15,12948.6
2022-03-16,13436.5
2022-03-17,13614.8
2022-03-18,13893.8
2022-03-21,13838.5
2022-03-22,14108.8
2022-03-23,13922.6
2022-03-24,14191.8
2022-03-25,14169.3
2022-03-28,14354.9
2022-03-29,14619.6
2022-03-30,14442.3
2022-03-31,14220.5
2022-04-01,14261.5
2022-04-04,14532.5
2022-04-05,14204.2
2022-04-06,13888.8
2022-04-07,13897.3
2022-04-08,13711.0
2022-04-11,13412.0
2022-04-12,13371.6
2022-04-13,13643.6
2022-04-14,13351.1
2022-04-18,13332.4
2022-04-19,13619.7
2022-04-20,13453.1
2022-04-21,13174.7
2022-04-22,12839.3
2022-04-25,13004.8
2022-04-26,12490.7
2022-04-27,12488.9
2022-04-28,12871.5
2022-04-29,12334.6
2022-05-02,12536.0
2022-05-03,12563.8
2022-05-04,12964.9
2022-05-05,12317.7
2022-05-06,12144.7
2022-05-09,11623.2
2022-05-10,11737.7
2022-05-11,11364.2
2022-05-12,11371.0
2022-05-13,11805.0
2022-05-16,11662.8
2022-05-17,11984.5
2022-05-18,11418.2
2022-05-19,11388.5
2022-05-20,11354.6
2022-05-23,11535.3
2022-05-24,11264.5
2022-05-25,11434.7
2022-05-26,11740.7
2022-05-27,12131.1
2022-05-31,12081.4
2022-06-01,11994.5
2022-06-02,12316.9
2022-06-03,12012.7
2022-06-06,12061.4
2022-06-07,12175.2
2022-06-08,12086.3
2022-06-09,11754.2
2022-06-10,11340.0
2022-06-13,10809.2
2022-06-14,10828.3
2022-06-15,11099.2
2022-06-16,10646.1
2022-06-17,10798.3
2022-06-21,11069.3
2022-06-22,11053.1
2022-06-23,11232.2
2022-06-24,11607.6
2022-06-27,11524.5
2022-06-28,11181.5
2022-06-29,11177.9
2022-06-30,11028.7
2022-07-01,11127.8
2022-07-05,11322.2
2022-07-06,11361.8
2022-07-07,11621.3
2022-07-08,11635.3
2022-07-11,11372.6
2022-07-12,11264.7
2022-07-13,11247.6
2022-07-14,11251.2
2022-07-15,11452.4
2022-07-18,11360.0
2022-07-19,11713.2
2022-07-20,11897.7
2022-07-21,12059.6
2022-07-22,11834.1
2022-07-25,11782.7
2022-07-26,11562.6
2022-07-27,12032.4
2022-07-28,12162.6
2022-07-29,12390.7
2022-08-01,12369.0
2022-08-02,12348.8
2022-08-03,12668.2
2022-08-04,12720.6
2022-08-05,12657.5
2022-08-08,12644.5
2022-08-09,12493.9
2022-08-10,12854.8
2022-08-11,12779.9
2022-08-12,13047.2
2022-08-15,13128.0
2022-08-16,13102.5
2022-08-17,12938.1
2022-08-18,12965.3
2022-08-19,12705.2
2022-08-22,12381.6
2022-08-23,12381.3
2022-08-24,12431.5
2022-08-25,12639.3
2022-08-26,12141.7
2022-08-29,12017.7
2022-08-30,11883.1
2022-08-31,11816.2
2022-09-01,11785.1
2022-09-02,11630.9
2022-09-06,11544.9
2022-09-07,11791.9
2022-09-08,11862.1
2022-09-09,12112.3
2022-09-12,12266.4
2022-09-13,11633.6
2022-09-14,11719.7
2022-09-15,11552.4
2022-09-16,11448.4
2022-09-19,11535.0
2022-09-20,11425.0
2022-09-21,11220.2
2022-09-22,11066.8
2022-09-23,10867.9
2022-09-26,10802.9
2022-09-27,10829.5
2022-09-28,11051.6
2022-09-29,10737.5
2022-09-30,10575.6
2022-10-03,10815.4
2022-10-04,11176.4
2022-10-05,11148.6
2022-10-06,11073.3
2022-10-07,10652.4
2022-10-10,10542.1
2022-10-11,10426.2
2022-10-12,10417.1
2022-10-13,10649.2
2022-10-14,10321.4
2022-10-17,10675.8
2022-10-18,10772.4
2022-10-19,10680.5
2022-10-20,10614.8
2022-10-21,10859.7
2022-10-24,10952.6
2022-10-25,11199.1
2022-10-26,10971.0
2022-10-27,10792.7
2022-10-28,11102.5
2022-10-31,10988.2
2022-11-01,10890.8
2022-11-02,10524.8
2022-11-03,10342.9
2022-11-04,10475.2
2022-11-07,10564.5
2022-11-08,10616.2
2022-11-09,10353.2
2022-11-10,11114.2
2022-11-11,11323.3
2022-11-14,11196.2
2022-11-15,11358.4
2022-11-16,11183.7
2022-11-17,11145.0
2022-11-18,11146.1
2022-11-21,11024.5
2022-11-22,11174.4
2022-11-23,11285.3
2022-11-25,11226.4
2022-11-28,11049.5
2022-11-29,10983.8
2022-11-30,11468.0
2022-12-01,11482.5
2022-12-02,11461.5
2022-12-05,11239.9
2022-12-06,11014.9
2022-12-07,10958.5
